Disease,County,Year,MALE,FEMALE
Amebiasis,MARIN,2004,3,3
Amebiasis,MARIN,2005,4,9
Amebiasis,MARIN,2006,8,7
Amebiasis,MARIN,2007,5,2
Amebiasis,MARIN,2008,1,1
Amebiasis,MARIN,2009,1,2
Amebiasis,MARIN,2010,2,2
Amebiasis,MARIN,2011,5,0
Amebiasis,MARIN,2012,0,1
Amebiasis,MARIN,2013,1,1
Amebiasis,MARIN,2014,2,3
Amebiasis,MARIN,2015,3,1
Amebiasis,MARIN,2016,4,5
Amebiasis,MARIN,2017,5,2
Amebiasis,MARIN,2018,8,2
Amebiasis,MARIPOSA,2001,0,0
Amebiasis,MARIPOSA,2002,0,0
Amebiasis,MARIPOSA,2003,0,0
Amebiasis,MARIPOSA,2004,0,0
Amebiasis,MARIPOSA,2005,0,0
Amebiasis,MARIPOSA,2006,0,0
Amebiasis,MARIPOSA,2007,0,0
Amebiasis,MARIPOSA,2008,,
Amebiasis,MARIPOSA,2009,0,0
Amebiasis,MARIPOSA,2010,0,0
Amebiasis,MARIPOSA,2011,0,0
Amebiasis,MARIPOSA,2012,0,0
Amebiasis,MARIPOSA,2013,0,0
Amebiasis,MARIPOSA,2014,0,0
Amebiasis,MARIPOSA,2015,,
Amebiasis,MARIPOSA,2016,0,0
Amebiasis,MARIPOSA,2017,0,0
Amebiasis,MARIPOSA,2018,0,0
Amebiasis,MENDOCINO,2001,0,0
Amebiasis,MENDOCINO,2002,,
Amebiasis,MENDOCINO,2003,0,0
Amebiasis,MENDOCINO,2004,0,0
Amebiasis,MENDOCINO,2005,0,0
Amebiasis,MENDOCINO,2006,0,0
Amebiasis,MENDOCINO,2007,,
Amebiasis,MENDOCINO,2008,0,0
Amebiasis,MENDOCINO,2009,0,0
Amebiasis,MENDOCINO,2010,0,0
Amebiasis,MENDOCINO,2011,,
Amebiasis,MENDOCINO,2012,,
Amebiasis,MENDOCINO,2013,,
Amebiasis,MENDOCINO,2014,,
Amebiasis,MENDOCINO,2015,0,0
